
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000326                       # Number of seconds simulated (Second)
simTicks                                    326062000                       # Number of ticks simulated (Tick)
finalTick                                   326062000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      1.26                       # Real time elapsed on the host (Second)
hostTickRate                                258501640                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    8531728                       # Number of bytes of host memory used (Byte)
simInsts                                       639649                       # Number of instructions simulated (Count)
simOps                                         639987                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   507059                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     507323                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           326064                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.509755                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.961728                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          713041                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     2339                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         662409                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   9157                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                75392                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             79820                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  60                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              309884                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               2.137603                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.386309                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     60990     19.68%     19.68% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                     25763      8.31%     28.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                     99614     32.15%     60.14% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     59666     19.25%     79.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     61437     19.83%     99.22% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                      1936      0.62%     99.85% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                       400      0.13%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                        32      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                        46      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                309884                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                  166278     73.17%     73.17% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   1468      0.65%     73.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     73.82% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                   513      0.23%     74.04% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                   247      0.11%     74.15% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                    69      0.03%     74.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     74.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%     74.18% # attempts to use FU when none available (Count)
